Predicate ID,Triple,Sentence ID,Sentence,Is Correct,Question,Answer,,
10594435,host part of Vertebrates,53,These data strongly suggest that B. burgdorferi s.s. and B. garinii OspA type 4 are maintained in these areas by specific transmission cycles involving a so far undetermined vertebrate host which is frequently fed on by I. ricinus larvae.,True,Is the triple 'host part of Vertebrates' supported by the sentence: 'These data strongly suggest that B. burgdorferi s.s. and B. garinii OspA type 4 are maintained in these areas by specific transmission cycles involving a so far undetermined vertebrate host which is frequently fed on by I. ricinus larvae.'?,"Yes, the triple 'host part of Vertebrates' is supported by the sentence. The sentence mentions a 'vertebrate host' which indicates that the host is part of the vertebrate group.",,
10594472,B.S.S. affects host,53,These data strongly suggest that B. burgdorferi s.s. and B. garinii OspA type 4 are maintained in these areas by specific transmission cycles involving a so far undetermined vertebrate host which is frequently fed on by I. ricinus larvae.,False,Is the triple 'B.S.S. affects host' supported by the sentence: 'These data strongly suggest that B. burgdorferi s.s. and B. garinii OspA type 4 are maintained in these areas by specific transmission cycles involving a so far undetermined vertebrate host which is frequently fed on by I. ricinus larvae.'?,"No, the triple 'B.S.S. affects host' is not supported by the sentence. The sentence suggests that B. burgdorferi s.s. is maintained in specific areas through transmission cycles involving a host, but it doesn't explicitly state that B.S.S. affects the host.",,
10594584,Farm Animals is a Animals,55,Monitoring of antimicrobial resistance in pathogenic bacteria from livestock animals.,False,Is the triple 'Farm Animals is a Animals' supported by the sentence: 'Monitoring of antimicrobial resistance in pathogenic bacteria from livestock animals.'?,"No, the given sentence does not support the triple 'Farm Animals is a Animals'. The sentence discusses about pathogenic bacteria in livestock animals, but does not provide information on farm animals being a category of animals.",,
10594689,Disease process of Farm Animals,57,The establishment of corresponding management options relies on scientifically defensible efforts to obtain objective data on the prevalence of bacterial resistance in healthy and diseased livestock.,False,Is the triple 'Disease process of Farm Animals' supported by the sentence: 'The establishment of corresponding management options relies on scientifically defensible efforts to obtain objective data on the prevalence of bacterial resistance in healthy and diseased livestock.'?,"No, the triple 'Disease process of Farm Animals' is not supported by the sentence. The sentence discusses the management of bacterial resistance in healthy and diseased livestock, but does not directly speak on the disease process of farm animals.",,
10594898,Therapeutic procedure uses Microbicides,62,"This incorporates regional differences in animal population density, (2) the avoidance of \""copy strains\",False,"Is the triple 'Therapeutic procedure uses Microbicides' supported by the sentence: 'This incorporates regional differences in animal population density, (2) the avoidance of \""copy strains\'?","No, the triple 'Therapeutic procedure uses Microbicides' is not supported by the sentence: 'This incorporates regional differences in animal population density, (2) the avoidance of ""copy strains'. The sentence does not mention anything about any therapeutic procedure or the use of microbicides.",,
10595006,Therapeutic procedure uses Microbicides,64,"In applied antimicrobial therapy, the data can serve as a decision guidance in choosing the antimicrobial agent most adapted to the prevailing epidemiological situation.",False,"Is the triple 'Therapeutic procedure uses Microbicides' supported by the sentence: 'In applied antimicrobial therapy, the data can serve as a decision guidance in choosing the antimicrobial agent most adapted to the prevailing epidemiological situation.'?","No, the triple 'Therapeutic procedure uses Microbicides' is not supported by the sentence. The sentence does not mention therapeutic procedure or microbicides.",,
10595160,enrofloxacin is a Fluoroquinolones,67,"Only rare cases of resistance to enrofloxacin (fluoroquinolone) could be detected, and only 3% of bacterial strains tested proved resistant to 3rd and 4th generation cephalosporins, including substances prescribed in human medicine.",True,"Is the triple 'enrofloxacin is a Fluoroquinolones' supported by the sentence: 'Only rare cases of resistance to enrofloxacin (fluoroquinolone) could be detected, and only 3% of bacterial strains tested proved resistant to 3rd and 4th generation cephalosporins, including substances prescribed in human medicine.'?","Yes, the triple 'enrofloxacin is a Fluoroquinolones' is supported by the sentence. The section 'enrofloxacin (fluoroquinolone)' directly makes this link.",,
10595193,enrofloxacin coexists with Pharmaceutical Preparations,67,"Only rare cases of resistance to enrofloxacin (fluoroquinolone) could be detected, and only 3% of bacterial strains tested proved resistant to 3rd and 4th generation cephalosporins, including substances prescribed in human medicine.",False,"Is the triple 'enrofloxacin coexists with Pharmaceutical Preparations' supported by the sentence: 'Only rare cases of resistance to enrofloxacin (fluoroquinolone) could be detected, and only 3% of bacterial strains tested proved resistant to 3rd and 4th generation cephalosporins, including substances prescribed in human medicine.'?","No, the sentence doesn't support the triple 'enrofloxacin coexists with Pharmaceutical Preparations'.",,
10595361,Covers treats Tick-Borne Encephalitis,70,Spatial analysis revealed that the land cover and precise seasonal patterns of climatic indices (temperature and normalized difference vegetation index) can explain 55% of the observed spatial variation in TBE incidence over the period 1993-98 across all the Baltic States.,False,Is the triple 'Covers treats Tick-Borne Encephalitis' supported by the sentence: 'Spatial analysis revealed that the land cover and precise seasonal patterns of climatic indices (temperature and normalized difference vegetation index) can explain 55% of the observed spatial variation in TBE incidence over the period 1993-98 across all the Baltic States.'?,"No, the triple 'Covers treats Tick-Borne Encephalitis' is not supported by the sentence. The sentence discusses how land cover and climatic indices can explain variation in Tick-Borne Encephalitis incidence, not that 'covers' treat Tick-Borne Encephalitis.",,
10595474,Behavior process of Human,72,"Further time series analysis of climate, together with analysis of biotic factors, socio-economic conditions, and human behaviour is being undertaken to explain the epidemiological patterns more fully.",False,"Is the triple 'Behavior process of Human' supported by the sentence: 'Further time series analysis of climate, together with analysis of biotic factors, socio-economic conditions, and human behaviour is being undertaken to explain the epidemiological patterns more fully.'?","No, the triple 'Behavior process of Human' is not supported by the sentence.",,
10595632,Infection process of Adult,75,"The study objective was to prospectively determine the etiology of infection among adults exposed to tick bite and to detect acute human granulocytic anaplasmosis (HGA), a recently emerging infection, in north-eastern Poland.",False,"Is the triple 'Infection process of Adult' supported by the sentence: 'The study objective was to prospectively determine the etiology of infection among adults exposed to tick bite and to detect acute human granulocytic anaplasmosis (HGA), a recently emerging infection, in north-eastern Poland.'?","No, the sentence does not support the triple 'Infection process of Adult'.",,
10595725,Fever process of Patients,76,"We evaluated 68 patients (34 males and 34 females, mean age 44.2+/-15 years) who had fever within 4 weeks after a tick bite.",False,"Is the triple 'Fever process of Patients' supported by the sentence: 'We evaluated 68 patients (34 males and 34 females, mean age 44.2+/-15 years) who had fever within 4 weeks after a tick bite.'?","No, the triple 'Fever process of Patients' is not supported by the sentence. The sentence talks about evaluating patients who had fever after a tick bite but doesn't explain anything about the process of fever in patients.",,
10595759,Fever process of Females,76,"We evaluated 68 patients (34 males and 34 females, mean age 44.2+/-15 years) who had fever within 4 weeks after a tick bite.",False,"Is the triple 'Fever process of Females' supported by the sentence: 'We evaluated 68 patients (34 males and 34 females, mean age 44.2+/-15 years) who had fever within 4 weeks after a tick bite.'?","No, the triple 'Fever process of Females' is not supported by the sentence. The sentence discusses fever in patients (both males and females) after a tick bite, but it does not specifically discuss or compare the process of fever in females.",,
10595794,Fever process of Males,76,"We evaluated 68 patients (34 males and 34 females, mean age 44.2+/-15 years) who had fever within 4 weeks after a tick bite.",True,"Is the triple 'Fever process of Males' supported by the sentence: 'We evaluated 68 patients (34 males and 34 females, mean age 44.2+/-15 years) who had fever within 4 weeks after a tick bite.'?",Yes,,
10595906,Recombinant DNA part of 16s,78,Microscopic examination of EDTA whole blood and nested PCR targeting A. phagocytophilum 16S rDNA gene fragment were carried out at enrolment.,False,Is the triple 'Recombinant DNA part of 16s' supported by the sentence: 'Microscopic examination of EDTA whole blood and nested PCR targeting A. phagocytophilum 16S rDNA gene fragment were carried out at enrolment.'?,"No, the triple 'Recombinant DNA part of 16s' is not supported by the sentence. The sentence mentions '16S rDNA gene fragment', but it does not make any explicit reference to 'Recombinant DNA'.",,
10595985,Tick-Borne Infections process of Individual,79,Tick-borne infections were diagnosed in 57 individuals (84%).,True,Is the triple 'Tick-Borne Infections process of Individual' supported by the sentence: 'Tick-borne infections were diagnosed in 57 individuals (84%).'?,Yes,,
10596143,"Glossitis, Benign Migratory process of Patients",81,"Tick-borne encephalitis (TBE) was revealed in 49 cases; in 39 patients as a single infection, in three patients concurrent with erythema migrans or other Lyme borreliosis symptoms, in five patients concurrent with probable or possible Lyme borreliosis, and in two patients concurrent with A. phagocytophilum infection.",False,"Is the triple 'Glossitis, Benign Migratory process of Patients' supported by the sentence: 'Tick-borne encephalitis (TBE) was revealed in 49 cases; in 39 patients as a single infection, in three patients concurrent with erythema migrans or other Lyme borreliosis symptoms, in five patients concurrent with probable or possible Lyme borreliosis, and in two patients concurrent with A. phagocytophilum infection.'?","No, the triple 'Glossitis, Benign Migratory process of Patients' is not supported by the sentence. The sentence mentions tick-borne encephalitis and Lyme borreliosis, but it does not mention Glossitis, a benign migratory process of patients.",,
10596167,"Glossitis, Benign Migratory is a Symptoms",81,"Tick-borne encephalitis (TBE) was revealed in 49 cases; in 39 patients as a single infection, in three patients concurrent with erythema migrans or other Lyme borreliosis symptoms, in five patients concurrent with probable or possible Lyme borreliosis, and in two patients concurrent with A. phagocytophilum infection.",False,"Is the triple 'Glossitis, Benign Migratory is a Symptoms' supported by the sentence: 'Tick-borne encephalitis (TBE) was revealed in 49 cases; in 39 patients as a single infection, in three patients concurrent with erythema migrans or other Lyme borreliosis symptoms, in five patients concurrent with probable or possible Lyme borreliosis, and in two patients concurrent with A. phagocytophilum infection.'?","No, this triple is not supported by the sentence since there is no mention of 'Glossitis, Benign Migratory' as a symptom of any of the conditions described.",,
10596383,Diagnosis treats Patients,82,Diagnosis of HGA was confirmed in one patient by PCR and in another one by seroconversion.,False,Is the triple 'Diagnosis treats Patients' supported by the sentence: 'Diagnosis of HGA was confirmed in one patient by PCR and in another one by seroconversion.'?,"No, the triple 'Diagnosis treats Patients' is not supported by the sentence. The sentence mentions confirming a diagnosis, but does not imply treatment.",,
10596492,Immunofluorescence diagnoses Infection,83,"In two further individuals, A. phagocytophilum infection was confirmed by immunofluorescence (antibody titers > or = 1:128), which, however, does not fulfil the ESCAR (European Society of Clinical Microbiology and Infectious Diseases Study Group on Coxiella, Anaplasma, Rickettsia, and Bartonella) criteria for HGA case definition.",True,"Is the triple 'Immunofluorescence diagnoses Infection' supported by the sentence: 'In two further individuals, A. phagocytophilum infection was confirmed by immunofluorescence (antibody titers > or = 1:128), which, however, does not fulfil the ESCAR (European Society of Clinical Microbiology and Infectious Diseases Study Group on Coxiella, Anaplasma, Rickettsia, and Bartonella) criteria for HGA case definition.'?","Yes, the triple 'Immunofluorescence diagnoses Infection' is supported by the sentence as it shows that an infection was confirmed using immunofluorescence.",,
10596565,Lyme Disease process of Patients,84,Lyme borreliosis was diagnosed in 16 patients, in six of them as a single infection.,False,Is the triple 'Lyme Disease process of Patients' supported by the sentence: 'Lyme borreliosis was diagnosed in 16 patients, in six of them as a single infection.'?,"No, the triple 'Lyme Disease process of Patients' is not supported by the sentence."
10596660,Lyme Disease process of Individual,85,Both confirmed HGA cases and seropositive individuals had A. phagocytophilum infection concurrent either with Lyme borreliosis (two cases) or with TBE (two cases).,False,Is the triple 'Lyme Disease process of Individual' supported by the sentence: 'Both confirmed HGA cases and seropositive individuals had A. phagocytophilum infection concurrent either with Lyme borreliosis (two cases) or with TBE (two cases).'?,"No, the triple 'Lyme Disease process of Individual' is not supported by the sentence. The sentence discusses HGA cases and seropositive individuals with concurrent infections of A. phagocytophilum and either Lyme borreliosis or TBE, but it doesn't provide information about the process of Lyme Disease in an individual.",,
10596772,Disease process of Adult,87,TBE was found the most prevalent disease among adults with febrile illnesses occurring after a tick bite in north-eastern Poland.,True,Is the triple 'Disease process of Adult' supported by the sentence: 'TBE was found the most prevalent disease among adults with febrile illnesses occurring after a tick bite in north-eastern Poland.'?,"Yes, the triple 'Disease process of Adult' is supported by the sentence. The sentence talks about TBE (Tick-borne encephalitis), which is a prevalent disease among adults.",,
10596805,Disorder characterized by fever process of Adult,87,TBE was found the most prevalent disease among adults with febrile illnesses occurring after a tick bite in north-eastern Poland.,False,Is the triple 'Disorder characterized by fever process of Adult' supported by the sentence: 'TBE was found the most prevalent disease among adults with febrile illnesses occurring after a tick bite in north-eastern Poland.'?,"No, the triple 'Disorder characterized by fever process of Adult' is not supported by the sentence. The sentence mentions TBE (Tick-borne encephalitis) as the most prevalent disease in adults with febrile illnesses after a tick bite in north-eastern Poland. But it does not specifically characterize a disorder by fever process in adults.",,
10597199,"4,5-dibromo-2-pyrrolic acid compared with 1-oleoyl-2-stearoylphosphatidylcholine",97,Comparison of dbpA sequences with ospC sequences from a subset of 59 strains revealed all kinds of cross-connections indicating processes of lateral gene transfer among strains.,False,"Is the triple '4,5-dibromo-2-pyrrolic acid compared with 1-oleoyl-2-stearoylphosphatidylcholine' supported by the sentence: 'Comparison of dbpA sequences with ospC sequences from a subset of 59 strains revealed all kinds of cross-connections indicating processes of lateral gene transfer among strains.'?","No, the triple '4,5-dibromo-2-pyrrolic acid compared with 1-oleoyl-2-stearoylphosphatidylcholine' is not supported by the sentence. The sentence talks about the comparison of dbpA and ospC sequences among strains, not about the comparison of '4,5-dibromo-2-pyrrolic acid and 1-oleoyl-2-stearoylphosphatidylcholine'.",,
10597287,"4,5-dibromo-2-pyrrolic acid inhibits DNA",98,"The extent of sequence identity within the dbpA genes decreases from the DNA (67%) to the amino acid (AA) level (44%) by about 23%, in contrast ospC sequence identities differed only by about 10%.",False,"Is the triple '4,5-dibromo-2-pyrrolic acid inhibits DNA' supported by the sentence: 'The extent of sequence identity within the dbpA genes decreases from the DNA (67%) to the amino acid (AA) level (44%) by about 23%, in contrast ospC sequence identities differed only by about 10%.'?","No, the triple '4,5-dibromo-2-pyrrolic acid inhibits DNA' is not supported by the provided sentence.",,
10597421,"4,5-dibromo-2-pyrrolic acid interacts with Specific antigen",100,Immunoblots using four recombinant DbpAs representing groups I-IV show that DbpA proteins are sensitive and specific antigens and complement one another in their reactivity.,False,"Is the triple '4,5-dibromo-2-pyrrolic acid interacts with Specific antigen' supported by the sentence: 'Immunoblots using four recombinant DbpAs representing groups I-IV show that DbpA proteins are sensitive and specific antigens and complement one another in their reactivity.'?","No, the triple '4,5-dibromo-2-pyrrolic acid interacts with Specific antigen' is not supported by the sentence. The sentence does not mention '4,5-dibromo-2-pyrrolic acid' at all.",,
10597542,Neuropeptides affects Inflammation,102,"A neuropeptide in immune-mediated inflammation, Y?",True,"Is the triple 'Neuropeptides affects Inflammation' supported by the sentence: 'A neuropeptide in immune-mediated inflammation, Y?'?","Yes, the triple 'Neuropeptides affects Inflammation' is supported by the sentence 'A neuropeptide in immune-mediated inflammation, Y?' since it indicates that a neuropeptide plays a role in inflammation, specifically through an immune-mediated process.",,
10597633,Crosstalk causes Autoimmunity,103,Disturbances in crosstalk between the immune system and the sympathetic nervous system (SNS) can contribute to the pathogenesis of Th1-mediated autoimmunity.,True,Is the triple 'Crosstalk causes Autoimmunity' supported by the sentence: 'Disturbances in crosstalk between the immune system and the sympathetic nervous system (SNS) can contribute to the pathogenesis of Th1-mediated autoimmunity.'?,"Yes, the triple 'Crosstalk causes Autoimmunity' is supported by the sentence. The sentence indicates that disturbances in the crosstalk (interaction) between the immune system and the SNS can contribute (lead) to the pathogenesis (development of a disease or condition) of Th1-mediated autoimmunity. Hence, it's implying that crosstalk (in this context) can cause autoimmunity.",,
10597756,neuropeptide Y|NPY interacts with T-Lymphocyte,105,"The precise role of NPY has been an enigma, but a recent study provides a breakthrough, demonstrating that NPY has a bimodal role as a negative regulator of T cells and an activator of antigen-presenting cell function.",True,"Is the triple 'neuropeptide Y|NPY interacts with T-Lymphocyte' supported by the sentence: 'The precise role of NPY has been an enigma, but a recent study provides a breakthrough, demonstrating that NPY has a bimodal role as a negative regulator of T cells and an activator of antigen-presenting cell function.'?","Yes, the triple 'neuropeptide Y|NPY interacts with T-Lymphocyte' is supported by the sentence. The sentence states that NPY (neuropeptide Y) has a role as a negative regulator of T cells, which implies an interaction between NPY and T-Lymphocytes.",,
10597803,neuropeptide Y|NPY stimulates Antigen-Presenting Cells,105,"The precise role of NPY has been an enigma, but a recent study provides a breakthrough, demonstrating that NPY has a bimodal role as a negative regulator of T cells and an activator of antigen-presenting cell function.",True,"Is the triple 'neuropeptide Y|NPY stimulates Antigen-Presenting Cells' supported by the sentence: 'The precise role of NPY has been an enigma, but a recent study provides a breakthrough, demonstrating that NPY has a bimodal role as a negative regulator of T cells and an activator of antigen-presenting cell function.'?","Yes, the triple 'neuropeptide Y|NPY stimulates Antigen-Presenting Cells' is supported by the sentence. The sentence explicitly states that NPY acts as an activator of antigen-presenting cell function, which means it stimulates these cells.",,
10597925,Mammals location of Toll-like receptors,107,Toll-like receptors (TLRs) have an important role in innate immunity in mammals by recognizing conserved microbial components that are known as pathogen-associated molecular patterns (PAMPs).,False,Is the triple 'Mammals location of Toll-like receptors' supported by the sentence: 'Toll-like receptors (TLRs) have an important role in innate immunity in mammals by recognizing conserved microbial components that are known as pathogen-associated molecular patterns (PAMPs).'?,"No, the sentence does not support the triple 'Mammals location of Toll-like receptors'. The sentence explains the role of Toll-like receptors in mammals but does not specify their location.",,
10598015,Endosomes location of Compartments,108,"Although the majority of these receptors sense pathogen components on the cell surface, a subset of them (TLR3, TLR7, TLR8 and TLR9) senses viral and bacterial nucleic acids in endosomal compartments.",True,"Is the triple 'Endosomes location of Compartments' supported by the sentence: 'Although the majority of these receptors sense pathogen components on the cell surface, a subset of them (TLR3, TLR7, TLR8 and TLR9) senses viral and bacterial nucleic acids in endosomal compartments.'?","Yes, the triple 'Endosomes location of Compartments' is supported by the sentence. It mentions that certain receptors sense viral and bacterial nucleic acids in 'endosomal compartments', indicating that endosomes are indeed a location of compartments.",,
10598051,Cell surface location of receptor,108,"Although the majority of these receptors sense pathogen components on the cell surface, a subset of them (TLR3, TLR7, TLR8 and TLR9) senses viral and bacterial nucleic acids in endosomal compartments.",True,"Is the triple 'Cell surface location of receptor' supported by the sentence: 'Although the majority of these receptors sense pathogen components on the cell surface, a subset of them (TLR3, TLR7, TLR8 and TLR9) senses viral and bacterial nucleic acids in endosomal compartments.'?","Yes, the triple 'Cell surface location of receptor' is supported by the sentence. It mentions that the majority of these receptors sense pathogen components on the cell surface.",,
10598148,"RNA, Small Interfering interacts with Ribose",110,This immune activation by siRNAs can be abrogated by the 2'-ribose modification of uridines.,False,"Is the triple 'RNA, Small Interfering interacts with Ribose' supported by the sentence: 'This immune activation by siRNAs can be abrogated by the 2'-ribose modification of uridines.'?","No, the sentence does not support the triple 'RNA, Small Interfering interacts with Ribose'. The sentence indicates that the immune activation by siRNAs (Small Interfering RNAs) can be stopped by the 2'-ribose modification of uridines, but it does not directly state that siRNAs interact with ribose.",,
10598263,E2F1 gene|E2F1|UBE2L3 causes Apoptosis,112,E2F1-induced apoptosis: turning killers into therapeutics.,False,Is the triple 'E2F1 gene|E2F1|UBE2L3 causes Apoptosis' supported by the sentence: 'E2F1-induced apoptosis: turning killers into therapeutics.'?,"No, the statement 'E2F1 gene|E2F1|UBE2L3 causes Apoptosis' is not supported by the sentence 'E2F1-induced apoptosis: turning killers into therapeutics.' The sentence only suggests that E2F1 causes apoptosis, but there is no mention of the UBE2L3 gene.",,
10598476,E2F1 gene|E2F1|UBE2L3 interacts with Pharmaceutical Preparations,116,"Here, these findings are highlighted in the context of the most recent follow-up studies that have used apoptotic E2F1 genes as new therapeutics or drug targets, thereby providing insight into the basic mechanisms of E2F1-induced apoptosis and its possible clinical implications.",False,"Is the triple 'E2F1 gene|E2F1|UBE2L3 interacts with Pharmaceutical Preparations' supported by the sentence: 'Here, these findings are highlighted in the context of the most recent follow-up studies that have used apoptotic E2F1 genes as new therapeutics or drug targets, thereby providing insight into the basic mechanisms of E2F1-induced apoptosis and its possible clinical implications.'?","No, the triple 'E2F1 gene|E2F1|UBE2L3 interacts with Pharmaceutical Preparations' is not supported by the sentence. The sentence mentions the E2F1 gene in the context of therapeutics or drug targets, but does not mention UBE2L3 or its interaction with pharmaceutical preparations.",,
