Predicate ID,Predicate,Sentence ID,Sentence,Question,Label,Reference
10595193,enrofloxacin coexists with Pharmaceutical Preparations,67,"Only rare cases of resistance to enrofloxacin (fluoroquinolone) could be detected, and only 3% of bacterial strains tested proved resistant to 3rd and 4th generation cephalosporins, including substances prescribed in human medicine.","Is the triple 'enrofloxacin coexists with Pharmaceutical Preparations' supported by the sentence: 'Only rare cases of resistance to enrofloxacin (fluoroquinolone) could be detected, and only 3% of bacterial strains tested proved resistant to 3rd and 4th generation cephalosporins, including substances prescribed in human medicine.'?",True,https://www.mdpi.com/2076-2615/11/8/2312
10595361,Covers treats Tick-Borne Encephalitis,70,Spatial analysis revealed that the land cover and precise seasonal patterns of climatic indices (temperature and normalized difference vegetation index) can explain 55% of the observed spatial variation in TBE incidence over the period 1993-98 across all the Baltic States.,Is the triple 'Covers treats Tick-Borne Encephalitis' supported by the sentence: 'Spatial analysis revealed that the land cover and precise seasonal patterns of climatic indices (temperature and normalized difference vegetation index) can explain 55% of the observed spatial variation in TBE incidence over the period 1993-98 across all the Baltic States.'?,True,https://www.cdc.gov/tick-borne-encephalitis/symptoms-diagnosis-treatment/index.html
10595474,Behavior process of Human,72,"Further time series analysis of climate, together with analysis of biotic factors, socio-economic conditions, and human behaviour is being undertaken to explain the epidemiological patterns more fully.","Is the triple 'Behavior process of Human' supported by the sentence: 'Further time series analysis of climate, together with analysis of biotic factors, socio-economic conditions, and human behaviour is being undertaken to explain the epidemiological patterns more fully.'?",True,https://exploringyourmind.com/8-basic-psychological-processes/
10595632,Infection process of Adult,75,"The study objective was to prospectively determine the etiology of infection among adults exposed to tick bite and to detect acute human granulocytic anaplasmosis (HGA), a recently emerging infection, in north-eastern Poland.","Is the triple 'Infection process of Adult' supported by the sentence: 'The study objective was to prospectively determine the etiology of infection among adults exposed to tick bite and to detect acute human granulocytic anaplasmosis (HGA), a recently emerging infection, in north-eastern Poland.'?",True,https://www.cdc.gov/infectioncontrol/spread/index.html
10595725,Fever process of Patients,76,"We evaluated 68 patients (34 males and 34 females, mean age 44.2+/-15 years) who had fever within 4 weeks after a tick bite.","Is the triple 'Fever process of Patients' supported by the sentence: 'We evaluated 68 patients (34 males and 34 females, mean age 44.2+/-15 years) who had fever within 4 weeks after a tick bite.'?",True,https://www.uptodate.com/contents/pathophysiology-and-treatment-of-fever-in-adults
10595759,Fever process of Females,76,"We evaluated 68 patients (34 males and 34 females, mean age 44.2+/-15 years) who had fever within 4 weeks after a tick bite.","Is the triple 'Fever process of Females' supported by the sentence: 'We evaluated 68 patients (34 males and 34 females, mean age 44.2+/-15 years) who had fever within 4 weeks after a tick bite.'?",True,https://www.clinicbarcelona.org/en/assistance/be-healthy/fever/causes
10595794,Fever process of Males,76,"We evaluated 68 patients (34 males and 34 females, mean age 44.2+/-15 years) who had fever within 4 weeks after a tick bite.","Is the triple 'Fever process of Males' supported by the sentence: 'We evaluated 68 patients (34 males and 34 females, mean age 44.2+/-15 years) who had fever within 4 weeks after a tick bite.'?",True,https://www.clinicbarcelona.org/en/assistance/be-healthy/fever/causes
10595906,Recombinant DNA part of 16s,78,Microscopic examination of EDTA whole blood and nested PCR targeting A. phagocytophilum 16S rDNA gene fragment were carried out at enrolment.,Is the triple 'Recombinant DNA part of 16s' supported by the sentence: 'Microscopic examination of EDTA whole blood and nested PCR targeting A. phagocytophilum 16S rDNA gene fragment were carried out at enrolment.'?,True,https://pubs.rsc.org/en/content/articlelanding/2022/ra/d2ra03069a
10595985,Tick-Borne Infections process of Individual,79,Tick-borne infections were diagnosed in 57 individuals (84%).,Is the triple 'Tick-Borne Infections process of Individual' supported by the sentence: 'Tick-borne infections were diagnosed in 57 individuals (84%).'?,False,https://www.cdc.gov/ticks/diseases/index.html
10596143,"Glossitis, Benign Migratory process of Patients",81,"Tick-borne encephalitis (TBE) was revealed in 49 cases; in 39 patients as a single infection, in three patients concurrent with erythema migrans or other Lyme borreliosis symptoms, in five patients concurrent with probable or possible Lyme borreliosis, and in two patients concurrent with A. phagocytophilum infection.","Is the triple 'Glossitis, Benign Migratory process of Patients' supported by the sentence: 'Tick-borne encephalitis (TBE) was revealed in 49 cases; in 39 patients as a single infection, in three patients concurrent with erythema migrans or other Lyme borreliosis symptoms, in five patients concurrent with probable or possible Lyme borreliosis, and in two patients concurrent with A. phagocytophilum infection.'?",False,https://dermnetnz.org/topics/geographic-tongue
10596167,"Glossitis, Benign Migratory is a Symptoms",81,"Tick-borne encephalitis (TBE) was revealed in 49 cases; in 39 patients as a single infection, in three patients concurrent with erythema migrans or other Lyme borreliosis symptoms, in five patients concurrent with probable or possible Lyme borreliosis, and in two patients concurrent with A. phagocytophilum infection.","Is the triple 'Glossitis, Benign Migratory is a Symptoms' supported by the sentence: 'Tick-borne encephalitis (TBE) was revealed in 49 cases; in 39 patients as a single infection, in three patients concurrent with erythema migrans or other Lyme borreliosis symptoms, in five patients concurrent with probable or possible Lyme borreliosis, and in two patients concurrent with A. phagocytophilum infection.'?",False,https://dermnetnz.org/topics/geographic-tongue
10596199,"Glossitis, Benign Migratory process of Patients",81,"Tick-borne encephalitis (TBE) was revealed in 49 cases; in 39 patients as a single infection, in three patients concurrent with erythema migrans or other Lyme borreliosis symptoms, in five patients concurrent with probable or possible Lyme borreliosis, and in two patients concurrent with A. phagocytophilum infection.","Is the triple 'Glossitis, Benign Migratory process of Patients' supported by the sentence: 'Tick-borne encephalitis (TBE) was revealed in 49 cases; in 39 patients as a single infection, in three patients concurrent with erythema migrans or other Lyme borreliosis symptoms, in five patients concurrent with probable or possible Lyme borreliosis, and in two patients concurrent with A. phagocytophilum infection.'?",False,https://dermnetnz.org/topics/geographic-tongue
10596244,Symptoms process of Patients,81,"Tick-borne encephalitis (TBE) was revealed in 49 cases; in 39 patients as a single infection, in three patients concurrent with erythema migrans or other Lyme borreliosis symptoms, in five patients concurrent with probable or possible Lyme borreliosis, and in two patients concurrent with A. phagocytophilum infection.","Is the triple 'Symptoms process of Patients' supported by the sentence: 'Tick-borne encephalitis (TBE) was revealed in 49 cases; in 39 patients as a single infection, in three patients concurrent with erythema migrans or other Lyme borreliosis symptoms, in five patients concurrent with probable or possible Lyme borreliosis, and in two patients concurrent with A. phagocytophilum infection.'?",True,https://bmcpalliatcare.biomedcentral.com/articles/10.1186/s12904-018-0314-4
10596294,Lyme Disease process of Patients,81,"Tick-borne encephalitis (TBE) was revealed in 49 cases; in 39 patients as a single infection, in three patients concurrent with erythema migrans or other Lyme borreliosis symptoms, in five patients concurrent with probable or possible Lyme borreliosis, and in two patients concurrent with A. phagocytophilum infection.","Is the triple 'Lyme Disease process of Patients' supported by the sentence: 'Tick-borne encephalitis (TBE) was revealed in 49 cases; in 39 patients as a single infection, in three patients concurrent with erythema migrans or other Lyme borreliosis symptoms, in five patients concurrent with probable or possible Lyme borreliosis, and in two patients concurrent with A. phagocytophilum infection.'?",True,https://www.cdc.gov/lyme/index.html
10596383,Diagnosis treats Patients,82,Diagnosis of HGA was confirmed in one patient by PCR and in another one by seroconversion.,Is the triple 'Diagnosis treats Patients' supported by the sentence: 'Diagnosis of HGA was confirmed in one patient by PCR and in another one by seroconversion.'?,True,https://www.mayoclinic.org/diseases-conditions/cancer/diagnosis-treatment/drc-20370594
10596492,Immunofluorescence diagnoses Infection,83,"In two further individuals, A. phagocytophilum infection was confirmed by immunofluorescence (antibody titers > or = 1:128), which, however, does not fulfil the ESCAR (European Society of Clinical Microbiology and Infectious Diseases Study Group on Coxiella, Anaplasma, Rickettsia, and Bartonella) criteria for HGA case definition.","Is the triple 'Immunofluorescence diagnoses Infection' supported by the sentence: 'In two further individuals, A. phagocytophilum infection was confirmed by immunofluorescence (antibody titers > or = 1:128), which, however, does not fulfil the ESCAR (European Society of Clinical Microbiology and Infectious Diseases Study Group on Coxiella, Anaplasma, Rickettsia, and Bartonella) criteria for HGA case definition.'?",True,https://link.springer.com/chapter/10.1007/978-3-319-77694-1_16
10596565,Lyme Disease process of Patients,84,Lyme borreliosis was diagnosed in 16 patients  in six of them as a single infection.,Is the triple 'Lyme Disease process of Patients' supported by the sentence: 'Lyme borreliosis was diagnosed in 16 patients,True,https://www.mayoclinic.org/diseases-conditions/lyme-disease/symptoms-causes/syc-20374651
10596660,Lyme Disease process of Individual,85,Both confirmed HGA cases and seropositive individuals had A. phagocytophilum infection concurrent either with Lyme borreliosis (two cases) or with TBE (two cases).,Is the triple 'Lyme Disease process of Individual' supported by the sentence: 'Both confirmed HGA cases and seropositive individuals had A. phagocytophilum infection concurrent either with Lyme borreliosis (two cases) or with TBE (two cases).'?,True,https://www.mayoclinic.org/diseases-conditions/lyme-disease/symptoms-causes/syc-20374651
10596772,Disease process of Adult,87,TBE was found the most prevalent disease among adults with febrile illnesses occurring after a tick bite in north-eastern Poland.,Is the triple 'Disease process of Adult' supported by the sentence: 'TBE was found the most prevalent disease among adults with febrile illnesses occurring after a tick bite in north-eastern Poland.'?,True,https://www.ecdc.europa.eu/en/tick-borne-encephalitis/facts/factsheet
10596805,Disorder characterized by fever process of Adult,87,TBE was found the most prevalent disease among adults with febrile illnesses occurring after a tick bite in north-eastern Poland.,Is the triple 'Disorder characterized by fever process of Adult' supported by the sentence: 'TBE was found the most prevalent disease among adults with febrile illnesses occurring after a tick bite in north-eastern Poland.'?,True,https://www.ecdc.europa.eu/en/tick-borne-encephalitis/facts/factsheet
10597199,"4,5-dibromo-2-pyrrolic acid compared with 1-oleoyl-2-stearoylphosphatidylcholine",97,Comparison of dbpA sequences with ospC sequences from a subset of 59 strains revealed all kinds of cross-connections indicating processes of lateral gene transfer among strains.,"Is the triple '4,5-dibromo-2-pyrrolic acid compared with 1-oleoyl-2-stearoylphosphatidylcholine' supported by the sentence: 'Comparison of dbpA sequences with ospC sequences from a subset of 59 strains revealed all kinds of cross-connections indicating processes of lateral gene transfer among strains.'?",False,https://www.sigmaaldrich.com/UA/en/product/aldrich/656291
10597287,"4,5-dibromo-2-pyrrolic acid inhibits DNA",98,"The extent of sequence identity within the dbpA genes decreases from the DNA (67%) to the amino acid (AA) level (44%) by about 23%, in contrast ospC sequence identities differed only by about 10%.","Is the triple '4,5-dibromo-2-pyrrolic acid inhibits DNA' supported by the sentence: 'The extent of sequence identity within the dbpA genes decreases from the DNA (67%) to the amino acid (AA) level (44%) by about 23%, in contrast ospC sequence identities differed only by about 10%.'?",False,https://researchportal.helsinki.fi/en/publications/n-phenyl-45-dibromopyrrolamides-and-n-phenylindolamides-as-atp-co
10597421,"4,5-dibromo-2-pyrrolic acid interacts with Specific antigen",100,Immunoblots using four recombinant DbpAs representing groups I-IV show that DbpA proteins are sensitive and specific antigens and complement one another in their reactivity.,"Is the triple '4,5-dibromo-2-pyrrolic acid interacts with Specific antigen' supported by the sentence: 'Immunoblots using four recombinant DbpAs representing groups I-IV show that DbpA proteins are sensitive and specific antigens and complement one another in their reactivity.'?",True,https://link.springer.com/article/10.1007/s11094-022-02723-x
10597542,Neuropeptides affects Inflammation,102,"A neuropeptide in immune-mediated inflammation, Y?","Is the triple 'Neuropeptides affects Inflammation' supported by the sentence: 'A neuropeptide in immune-mediated inflammation, Y?'?",True,https://link.springer.com/chapter/10.1007/978-94-011-2996-1_9
10597633,Crosstalk causes Autoimmunity,103,Disturbances in crosstalk between the immune system and the sympathetic nervous system (SNS) can contribute to the pathogenesis of Th1-mediated autoimmunity.,Is the triple 'Crosstalk causes Autoimmunity' supported by the sentence: 'Disturbances in crosstalk between the immune system and the sympathetic nervous system (SNS) can contribute to the pathogenesis of Th1-mediated autoimmunity.'?,True,https://www.frontiersin.org/articles/10.3389/fimmu.2021.747143/full
10597756,neuropeptide Y|NPY interacts with T-Lymphocyte,105,"The precise role of NPY has been an enigma, but a recent study provides a breakthrough, demonstrating that NPY has a bimodal role as a negative regulator of T cells and an activator of antigen-presenting cell function.","Is the triple 'neuropeptide Y|NPY interacts with T-Lymphocyte' supported by the sentence: 'The precise role of NPY has been an enigma, but a recent study provides a breakthrough, demonstrating that NPY has a bimodal role as a negative regulator of T cells and an activator of antigen-presenting cell function.'?",True,https://www.frontiersin.org/articles/10.3389/fimmu.2020.580378/full
10597803,neuropeptide Y|NPY stimulates Antigen-Presenting Cells,105,"The precise role of NPY has been an enigma, but a recent study provides a breakthrough, demonstrating that NPY has a bimodal role as a negative regulator of T cells and an activator of antigen-presenting cell function.","Is the triple 'neuropeptide Y|NPY stimulates Antigen-Presenting Cells' supported by the sentence: 'The precise role of NPY has been an enigma, but a recent study provides a breakthrough, demonstrating that NPY has a bimodal role as a negative regulator of T cells and an activator of antigen-presenting cell function.'?",True,https://www.frontiersin.org/articles/10.3389/fimmu.2020.580378/full
10597925,Mammals location of Toll-like receptors,107,Toll-like receptors (TLRs) have an important role in innate immunity in mammals by recognizing conserved microbial components that are known as pathogen-associated molecular patterns (PAMPs).,Is the triple 'Mammals location of Toll-like receptors' supported by the sentence: 'Toll-like receptors (TLRs) have an important role in innate immunity in mammals by recognizing conserved microbial components that are known as pathogen-associated molecular patterns (PAMPs).'?,True,https://www.hindawi.com/journals/bmri/2021/1157023/
10598015,Endosomes location of Compartments,108,"Although the majority of these receptors sense pathogen components on the cell surface, a subset of them (TLR3, TLR7, TLR8 and TLR9) senses viral and bacterial nucleic acids in endosomal compartments.","Is the triple 'Endosomes location of Compartments' supported by the sentence: 'Although the majority of these receptors sense pathogen components on the cell surface, a subset of them (TLR3, TLR7, TLR8 and TLR9) senses viral and bacterial nucleic acids in endosomal compartments.'?",True,https://link.springer.com/referenceworkentry/10.1007/978-3-642-16483-5_1892
10598051,Cell surface location of receptor,108,"Although the majority of these receptors sense pathogen components on the cell surface, a subset of them (TLR3, TLR7, TLR8 and TLR9) senses viral and bacterial nucleic acids in endosomal compartments.","Is the triple 'Cell surface location of receptor' supported by the sentence: 'Although the majority of these receptors sense pathogen components on the cell surface, a subset of them (TLR3, TLR7, TLR8 and TLR9) senses viral and bacterial nucleic acids in endosomal compartments.'?",True,https://en.wikipedia.org/wiki/Cell_surface_receptor
10598148,"RNA, Small Interfering interacts with Ribose",110,This immune activation by siRNAs can be abrogated by the 2'-ribose modification of uridines.,"Is the triple 'RNA, Small Interfering interacts with Ribose' supported by the sentence: 'This immune activation by siRNAs can be abrogated by the 2'-ribose modification of uridines.'?",True,https://jbiomedsci.biomedcentral.com/articles/10.1186/s12929-023-00981-9
10598263,E2F1 gene|E2F1|UBE2L3 causes Apoptosis,112,E2F1-induced apoptosis: turning killers into therapeutics.,Is the triple 'E2F1 gene|E2F1|UBE2L3 causes Apoptosis' supported by the sentence: 'E2F1-induced apoptosis: turning killers into therapeutics.'?,False,https://www.omim.org/entry/189971
10598476,E2F1 gene|E2F1|UBE2L3 interacts with Pharmaceutical Preparations,116,"Here, these findings are highlighted in the context of the most recent follow-up studies that have used apoptotic E2F1 genes as new therapeutics or drug targets, thereby providing insight into the basic mechanisms of E2F1-induced apoptosis and its possible clinical implications.","Is the triple 'E2F1 gene|E2F1|UBE2L3 interacts with Pharmaceutical Preparations' supported by the sentence: 'Here, these findings are highlighted in the context of the most recent follow-up studies that have used apoptotic E2F1 genes as new therapeutics or drug targets, thereby providing insight into the basic mechanisms of E2F1-induced apoptosis and its possible clinical implications.'?",False,https://www.frontiersin.org/journals/oncology/articles/10.3389/fonc.2021.723137/full
10598517,E2F1 gene|E2F1|UBE2L3 causes Apoptosis,116,"Here, these findings are highlighted in the context of the most recent follow-up studies that have used apoptotic E2F1 genes as new therapeutics or drug targets, thereby providing insight into the basic mechanisms of E2F1-induced apoptosis and its possible clinical implications.","Is the triple 'E2F1 gene|E2F1|UBE2L3 causes Apoptosis' supported by the sentence: 'Here, these findings are highlighted in the context of the most recent follow-up studies that have used apoptotic E2F1 genes as new therapeutics or drug targets, thereby providing insight into the basic mechanisms of E2F1-induced apoptosis and its possible clinical implications.'?",True,https://www.frontiersin.org/articles/10.3389/fmolb.2020.599332/full
10599076,Gene Expression process of Scorpaenidae,123,Protein and gene expression of VTG in response to 4-nonylphenol in rockfish (Sebastes schlegeli).,Is the triple 'Gene Expression process of Scorpaenidae' supported by the sentence: 'Protein and gene expression of VTG in response to 4-nonylphenol in rockfish (Sebastes schlegeli).'?,True,https://en.wikipedia.org/wiki/Scorpaenidae
10599190,Vitellogenins part of Scorpaenidae,124,"To investigate the in vivo estrogenic activity of 4-nonylphenol (4-NP) on reproductive function, we have measured the expression level of rockfish vitellogenin (rVTG) mRNA, concentration of plasma VTG and levels of plasma estradiol-17beta(E(2)) and testosterone (T) by radioimmunoassay (RIA).","Is the triple 'Vitellogenins part of Scorpaenidae' supported by the sentence: 'To investigate the in vivo estrogenic activity of 4-nonylphenol (4-NP) on reproductive function, we have measured the expression level of rockfish vitellogenin (rVTG) mRNA, concentration of plasma VTG and levels of plasma estradiol-17beta(E(2)) and testosterone (T) by radioimmunoassay (RIA).'?",False,https://en.wikipedia.org/wiki/Scorpaenidae
10599329,Vitellogenins part of Scorpaenidae,125,"An rVTG mRNA transcript of approximately 4.0 kb was extracted from hepatic tissue for Northern blot analysis, and the effects of 4-NP on rVTG mRNA expression in vivo with both male and female juvenile rockfish were examined.","Is the triple 'Vitellogenins part of Scorpaenidae' supported by the sentence: 'An rVTG mRNA transcript of approximately 4.0 kb was extracted from hepatic tissue for Northern blot analysis, and the effects of 4-NP on rVTG mRNA expression in vivo with both male and female juvenile rockfish were examined.'?",False,https://en.wikipedia.org/wiki/Scorpaenidae
10599368,Vitellogenins part of Scorpaenidae,125,"An rVTG mRNA transcript of approximately 4.0 kb was extracted from hepatic tissue for Northern blot analysis, and the effects of 4-NP on rVTG mRNA expression in vivo with both male and female juvenile rockfish were examined.","Is the triple 'Vitellogenins part of Scorpaenidae' supported by the sentence: 'An rVTG mRNA transcript of approximately 4.0 kb was extracted from hepatic tissue for Northern blot analysis, and the effects of 4-NP on rVTG mRNA expression in vivo with both male and female juvenile rockfish were examined.'?",False,https://en.wikipedia.org/wiki/Scorpaenidae
