SENTENCE_ID,PMID,TYPE,NUMBER,SENT_START_INDEX,SENTENCE,SECTION_HEADER,NORMALIZED_SECTION_HEADER,Column,Column
37,,,,,"On post-partum day five, she began complaining of headaches, initially responsive to ibuprofen but eventually worsened with no relief.",,,,
38,,,,,"Because ibuprofen protects from septic lung injury, we studied the effect of ibuprofen in oxidant lung injury from phosgene.",,,,
39,,,,,The efficacy and tolerance of ibuprofen retard at a dose of 2 x 800 mg daily was investigated in an open multicenter study over a period of 3 weeks on 7931 out-patients with activated degenerative joint disease and/or extraarticular rheumatic symptoms.,,,,
40,,,,,"Overall, we found no relation between regular aspirin use and cognitive decline, but long-term use of ibuprofen may be related to decreased rates of cognitive decline in older persons.",,,,
41,,,,,"Subdiaphragmatic vagotomy or 7-nitroindazole reduced, icatibant, DALBK, IL-1ra, aminoguanidine and dipyrone abolished, while ibuprofen and celecoxib failed to affect Tsv-induced fever.",,,,
42,,,,,Reduced incidence of gastroduodenal ulcers associated with lumiracoxib compared with ibuprofen in patients with rheumatoid arthritis.,,,,
43,,,,,It was also investigated whether the use of ibuprofen or paracetamol would influence the amount of surgical bleeding.,,,,
44,,,,,"In a randomised, placebo-controlled, double-blind trial of prophylaxis with ibuprofen, the rate of patent ductus arteriosus associated with ibuprofen was 19% compared with 42% with placebo.",,,,
45,,,,,"The purpose of this study was to examine the effects of ibuprofen on delayed onset muscle soreness (DOMS), indirect markers of muscle damage and muscular performance.",,,,
46,,,,,CONCLUSIONS: Pretreatment with ibuprofen before elective total hip surgery increases the perioperative blood loss significantly.,,,,
47,,,,,"The data suggest that nimesulide and ibuprofen, in addition to their anti-inflammatory and analgesic benefits, may also have a protective effect in osteoarthritis through the inhibition of apoptosis in chondrocytes.",,,,
48,,,,,Pretreatment with ibuprofen blocked the fever induced by RANTES.,,,,
49,,,,,This study evaluated whether administration of the pharmacologically active S(+)-isomer of ibuprofen suppresses acute pain and plasma beta-endorphin levels in the oral surgery model of acute pain.,,,,
50,,,,,"On the other hand, in subgroup B, no improvement in flexibility or reduction in muscle soreness was found in patients who took ibuprofen.",,,,
51,,,,,"This is termed, Celery Seed Extract (CSE) and has been found to be at least as effective as aspirin, ibuprofen, and naproxen in suppressing arthritis in a model of polyarthritis.",,,,
52,,,,,INTRODUCTION: Hospitalized patients are often unable to ingest or tolerate oral antipyretics and recently an aqueous formulation of intravenous (IV) ibuprofen was approved by the US-FDA for the reduction of fever in adults.,,,,
53,,,,,"OBJECTIVES: This study compared the analgesic effectiveness of acetaminophen-codeine with that of ibuprofen for children with acute traumatic extremity pain, with the hypothesis that the two medications would demonstrate equivalent reduction in pain scores in an emergency department (ED) setting.",,,,
54,,,,,"Thus, the anti-inflammatory drug ibuprofen, which has been associated with reduced AD risk in human epidemiological studies, can significantly delay some forms of AD pathology, including amyloid deposition, when administered early in the disease course of a transgenic mouse model of AD.",,,,
55,,,,,"The hypoxia, hypertension and increased prostanoids were prevented using ibuprofen.",,,,
56,,,,,"The Effect of Ibuprofen Dosing Interval on Post-Tonsillectomy Outcomes in Children: A Quality Improvement Study.OBJECTIVE: In this Quality Improvement (QI project) it was hypothesized that an increase in dosing intervals for postoperative analgesia when alternating Ibuprofen and Acetaminophen would reduce post-tonsillectomy hemorrhage (PTH) rates for those undergoing tonsillectomies with or without adenoidectomy, while maintaining the standard of postoperative analgesia and reducing visits to the Emergency Room (ER) for reasons other than PTH.",,,,
57,,,,,Studies show that ibuprofen demonstrates superior efficacy in fever reduction compared to acetaminophen.,,,,
58,,,,,IV Ibuprofen for Prevention of Post-Ercp Pancreatitis in Children: A Randomized Placebo-Controlled Feasibility Study.,,,,
59,,,,,Altitude Sickness Prevention with Ibuprofen Relative to Acetazolamide.,,,,
60,,,,,"In conclusion, prednisone, ibuprofen and betamethasone may prevent OA by suppressing the expression of IL-6 and IL-8, subsequently inactivating NF-kappaB and STAT3 pathways, and ultimately, leading to decreased levels of collagen I, MMP-1, and MMP-13.",,,,
61,,,,,"This study aims to determine the therapeutic effects of ibuprofen, diphenhydramine and aluminum magnesium simethicone (AlMgS) syrup on reducing oral aphthous ulcer pain.",,,,
62,,,,,"CONCLUSIONS: Considering the results of the study, reflexology was superior to Ibuprofen on reducing dysmenorrhea and its treatment effect continued even after discontinuing the intervention in the third cycle.",,,,
63,,,,,CONCLUSION: We conclude that pain therapy with an almost peripherally acting drug such as ibuprofen can reduce osteoporosis-associated chronic pain better than a centrally acting pain medication such as tramadol.,,,,
64,,,,,The objective of this study was to determine whether pretreatment with ibuprofen would prevent the onset or decrease the severity of headache that occurs after ECT.,,,,
65,,,,,The results of this study reveal that intake of ibuprofen can decrease muscle soreness induced after eccentric exercise but cannot assist in restoring muscle function.,,,,
66,,,,,The objective of our study was to determine the role of ibuprofen in protecting neutropenic rats from cardiopulmonary injury due to endotoxemia.,,,,
67,,,,,"To determine if prophylactic etodolac would significantly reduce postendodontic pain, when compared with ibuprofen or placebo, 36 patients consented to single blind oral administration of either 400 mg of etodolac, 600 mg of ibuprofen, or a placebo, before conventional one-appointment root canal therapy.",,,,
68,,,,,UNLABELLED: The aim of our study was to evaluate whether the prophylactic use of ibuprofen would reduce the incidence of significant patent ductus arteriosus (PDA) and to confirm the effectiveness of ibuprofen as rescue treatment in closing PDA.,,,,
69,,,,,"Nonsteroidal anti-inflammatory drugs (NSAIDs) such as aspirin, indomethacin and ibuprofen are the most widely used drugs for pain, arthritis, cardiovascular diseases and, more recently, the prevention of colon cancer and Alzheimer disease.",,,,
70,,,,,Aggravation of seizure-associated microvascular injuries by ibuprofen may involve multiple pathways.,,,,
71,,,,,"Use of paracetamol, ibuprofen or aspirin in pregnancy and risk of cerebral palsy in the child.",,,,
72,,,,,"More than two cycles of ibuprofen was significantly associated with an increased risk for bronchopulmonary dysplasia (odds ratio [OR], 2.81; p = 0.03) and acute renal failure (OR, 3.81; p = 0.09).",,,,
73,,,,,OBJECTIVE: Non-steroidal anti-inflammatory drugs such as ibuprofen have a protective role on risk of Alzheimer's disease (AD).,,,,
74,,,,,"There seems to be a marked gradient of risk for acute kidney injury across agents, specifically for indomethacin, ibuprofen, and rofecoxib.",,,,
75,,,,,"Significant heterogeneity was present for the NSAIDs; e.g., ibuprofen was associated with an increased overall fracture risk (OR = 2.09, 95% CI 2.00-2.18 for <20 DDD), while celecoxib was not (OR = 0.76, 95% CI 0.51-1.13 for <20 DDD, 2P < 0.01 for comparison).",,,,
76,,,,,One should be more critical about ivabradine and low-dose digoxin in diastolic heart failure.,,,,
77,,,,,"Preclinical studies of ivabradine in animal models with induced AF demonstrated a reduction in HR, with no significant worsening of QT interval or mean arterial pressure.",,,,
78,,,,,"In this review, we summarize the current knowledge of the HCN4 channel and ivabradine, including the function of HCN4 in cardiac pacemaking, the mechanism of action of If inhibition by ivabradine, and the pharmacological and clinical effects of ivabradine in cardiac diseases as HF, coronary artery disease, and atrial fibrillation.",,,,
79,,,,,Small studies have recently investigated the role of ivabradine in MS in sinus rhythm.,,,,
80,,,,,The role of Ivabradine in Diastolic Heart Failure with preserved Ejection Fraction.,,,,
81,,,,,"Other large trials are also underway to assess the effects of ivabradine on heart failure, acute coronary syndromes, CAD, and other cardiovascular disorders.",,,,
82,,,,,"Other large trials are also underway to assess the effects of ivabradine on heart failure, acute coronary syndromes, CAD, and other cardiovascular disorders.",,,,
83,,,,,Effective suppression of atrial fibrillation by ivabradine: Novel target for an established drug?,,,,
84,,,,,[SIGNIFY study is a disappointment. Ivabradine cannot stop of the progression of coronary heart disease].,,,,
85,,,,,RESULTS: Heart rate reduction and prevention of postoperative AF or tachyarrhythmia with combined therapy was more effective than with metoprolol or ivabradine alone during the immediate postoperative management of cardiac surgery patients.,,,,
86,,,,,"During exercise, ivabradine dose dependently and significantly reduced the exercise-induced tachycardia (-17, -21, and -32% at 0.25, 0.5, and 1 mg/kg, respectively, versus saline) without altering myocardial contractility nor mean ejection wall stress.",,,,
87,,,,,Recent trials reported that risk of atrial fibrillation (AF) is increased in patients using ivabradine compared with controls.,,,,
88,,,,,Randomized comparative study of cefixime versus cephalexin in acute bacterial exacerbations of chronic bronchitis.,,,,
89,,,,,Alterations of the pilQ gene in Neisseria gonorrhoeae are unlikely contributors to decreased susceptibility to ceftriaxone and cefixime in clinical gonococcal strains.,,,,
90,,,,,"Because of the emergence of these bacteria, other antimicrobial agents, both old and new, have been advocated for treatment and prevention of otitis media; amoxicillin-clavulanate, cefuroxime axetil, and cefixime are the newer agents.",,,,
91,,,,,Experimental comparison of protective characteristics of enalapril and trimetazidine in diabetic nephropathy.,,,,
92,,,,,This study aimed to investigate the role of TMZ in diabetic nephropathy (DN) and its potential mechanisms.,,,,
93,,,,,Objective: This study investigates the effect of TMZ in sunitinib-induced cardiotoxicity in vivo and in vitro and molecular mechanisms.,,,,
94,,,,,The role of trimetazidine in cardiovascular disease: beyond an anti-anginal agent.,,,,
95,,,,,"Trimetazidine, 2.5 mg/kg/day i.p. for 3 days before doxorubicin administration plus 2.5 mg/kg/day p.o. for 10 weeks, was unable to prevent the development of doxorubicin-induced long-term cardiotoxicity.",,,,
96,,,,,Ranolazine was more effective than lidocaine in terminating persistent AF and in preventing the induction of AF.,,,,
97,,,,,Role of Ranolazine in cardiovascular disease and diabetes: Exploring beyond angina.,,,,
98,,,,,"Furthermore, the activated Akt/mTOR signaling pathway induced by AF was further activated by ranolazine.",,,,
99,,,,,Recent evidence of beneficial effects of ranolazine (RAN) in type II diabetes motivates interest in the role of the late sodium current (INaL) in glucose-stimulated insulin secretion.,,,,
100,,,,,Effect of ranolazine in preventing postoperative atrial fibrillation in patients undergoing coronary revascularization surgery.,,,,
101,,,,,The anti-ischemic mechanism of action of ranolazine in stable ischemic heart disease.,,,,
102,,,,,Atrial-selective/predominant sodium channel blockers such as ranolazine effectively suppress AF in experimental models of AF involving canine isolated right atrial preparations at concentrations that produce little to no effect on ventricular electrophysiologic parameters.,,,,
103,,,,,Ranolazine has been shown to decrease angina pectoris frequency and nitroglycerin consumption.,,,,
104,,,,,BACKGROUND: Ranolazine has been shown to reduce myocardial ischemia and symptom severity among selected patients with chronic angina.,,,,
105,,,,,"Dominant frequency (DF) of AF was reduced by ranolazine in left atrium from 11.7 (10.7-20.5) Hz to 7.6 (2.9-8.8) Hz (P = 0.02, n = 6).",,,,
106,,,,,"After adjusting for potential sources of bias through propensity-score matched-pair analysis and conditional logistic regression, ranolazine was an independent predictor of preventing POAF (p < 0.0001).",,,,
107,,,,,Prednisolone furthers T-cell immunodeficiency and also reduces the intensity of autoimmune reactions in multiple sclerosis.,,,,
108,,,,,[Pharmacokinetics of prednisolone in adrenal insufficiency ].,,,,
109,,,,,It is concluded that VAP is effective therapy in AIL.,,,,
110,,,,,A thermographic assessment of three intra-articular prednisolone analogues given in rheumatoid synovitis.,,,,
111,,,,,The effect of small doses of prednisolone on the incidence of subcutaneous sarcomas induced by 3-methylcholanthrene in virgin female Swiss mice.,,,,
112,,,,,[Effects of chromocarb diethylamine and prednisolone in experimental uveitis induced by clove oil in rabbits].,,,,
113,,,,,[Effect of prednisolone and heparin on circulating T- and B-lymphocytes in glomerulonephritis and systemic lupus erythematosus].,,,,
114,,,,,[Effects of prednisolone on thyroidal-123I uptake in subacute thyroiditis].,,,,
115,,,,,"Blood Eosinophil Depletion with Mepolizumab, Benralizumab and Prednisolone in Eosinophilic Asthma.",,,,
116,,,,,[Prednisolone and aspirin combination therapy in habitual abortion with autoantibodies].,,,,
117,,,,,"To illustrate this, we used an example of cost-effectiveness analysis for docetaxel in combination with prednisolone in metastatic hormone-refractory prostate cancer.",,,,
118,,,,,Prednisolone is associated with a worse bone mineral density in primary adrenal insufficiency.,,,,
119,,,,,CONCLUSIONS: Prednisolone was more effective in inducing response than itraconazole in acute-stage ABPA.,,,,
120,,,,,"Purpose: The aim of this study was to compare asparaginase-related toxicities in two asparaginase preparations, namely native Escherichia coli L-asparaginase (L-ASP) and pegylated asparaginase (PEG-ASP) in combination with ifosfamide, methotrexate, etoposide, and prednisolone (IMEP) in natural killer (NK)/T-cell lymphoma (NTCL).",,,,
121,,,,,Prednisolone combined with adjunctive immunosuppression is not superior to prednisolone alone in terms of efficacy and safety in giant cell arteritis: meta-analysis.,,,,
122,,,,,CONCLUSION: GVP is well-tolerated regimen with high response rate and needs to be tested in late relapsed HL.,,,,
123,,,,,Early treatment with addition of low dose prednisolone to methotrexate improves therapeutic outcome in severe psoriatic arthritis.,,,,
124,,,,,"CONCLUSION: Flu/Cy/ATG conditioning regimen, bone marrow as stem cell source and CSA, prednisolone and short methotrexate regimen were associated with better survival in AA.",,,,
125,,,,,Effect of addition of short course of prednisolone to gluten-free diet on mucosal epithelial cell regeneration and apoptosis in celiac disease: a pilot randomized controlled trial.,,,,
126,,,,,Coadministration of cyclosporin a with prednisolone in acute interstitial pneumonia complicating polymyositis/dermatomyositis.,,,,
127,,,,,"Efficacy of immunoglobulin plus prednisolone for prevention of coronary artery abnormalities in severe Kawasaki disease (RAISE study): a randomised, open-label, blinded-endpoints trial.",,,,
128,,,,,"Response of vincristine, melphalan, cyclophosphamide and prednisolone in refractory multiple myeloma.",,,,
129,,,,,Pyruvate kinase M2 and prednisolone resistance in acute lymphoblastic leukemia.,,,,
130,,,,,"Stimulation with prednisolone and TNFalpha reduced GDF-5 expression in OA and RA fibroblasts, whereas MTX and IL-1beta revealed minor or no relevant change.",,,,
131,,,,,"A combination of rituximab plus chemotherapy, rituximab+cyclophosphamide+doxorubicin+vincristine+prednisolone (R-CHOP), has the highest efficacy ever described with any chemotherapy in DLBCL and FL.",,,,
132,,,,,"A combination of rituximab plus chemotherapy, rituximab+cyclophosphamide+doxorubicin+vincristine+prednisolone (R-CHOP), has the highest efficacy ever described with any chemotherapy in DLBCL and FL.",,,,
133,,,,,Weekly docetaxel and prednisolone versus prednisolone alone in androgen-independent prostate cancer: a randomized phase II study.,,,,
134,,,,,Prednisolone and azathioprine in membranous nephropathy: a 10-year follow-up study.,,,,
135,,,,,"Taken together, the present study points to a strong inhibitory effect of liposomal PLP on tumor angiogenesis by reduction of the intratumoral production of the majority of pro-angiogenic factors studied and direct inhibition of endothelial cell proliferation, which is the result of high prolonged levels of prednisolone in the tumor by liposomal delivery.",,,,
136,,,,,Prednisolone versus dexamethasone in croup: a randomised equivalence trial.,,,,
137,,,,,Use of ACTH and prednisolone in infantile spasms: experience from a developing country.,,,,
138,,,,,Bone mineral density in relation to efficacy and side effects of budesonide and prednisolone in Crohn's disease.,,,,
139,,,,,OBJECTIVE: To examine the safety and efficacy of methotrexate (MTX) plus low-dose prednisolone for induction of remission in non life- or organ-threatening courses and for remission maintenance in Churg-Strauss syndrome (CSS).,,,,
140,,,,,OBJECTIVE: To determine whether addition of low dose prednisolone to multidrug treatment can prevent reaction and nerve function impairment in leprosy.,,,,
141,,,,,A double-blind randomized controlled trial of infliximab associated with prednisolone in acute alcoholic hepatitis.,,,,
142,,,,,EULAR randomised controlled trial of pulse cyclophosphamide and methylprednisolone versus continuous cyclophosphamide and prednisolone followed by azathioprine and prednisolone in lupus nephritis.,,,,
143,,,,,OBJECTIVE: To investigate the safety and efficacy of leflunomide plus low-dose prednisolone for the maintenance of remission in Wegener's granulomatosis (WG).,,,,
144,,,,,"Treatment with combined therapy of adriamycin, vincristine and prednisolone produced a remission in the leukaemia with complete resolution of the breast mass.",,,,
145,,,,,RESULTS: The average initial dose of prednisolone in polymyalgia rheumatica was 35 mg; 51 of 62 patients were given a starting dose exceeding 15 mg.,,,,
146,,,,,[Trans-utero-tubal administration of prednisolone in sterility caused by obstruction of the tubes].,,,,
147,,,,,[On experiences with a combination preparation from prednisolone and an antihistaminic in dermatology especially in endogenous eczema].,,,,
148,,,,,[USE OF PREDNISOLONE IN SOME GRAVE FORMS OF PATHOLOGY OF THE PREMATURE INFANT].,,,,
149,,,,,[EFFECT OF PREDNISOLONE ON THE CARDIAC ACTIVITY IN LIVER AND KIDNEY  DISEASES AND IN RHEUMATISM].,,,,
150,,,,,"In this limited pilot study, we compared the effect on clinical outcome of treating Pseudomonas keratitis in guinea pigs with prednisolone (a corticosteroid), flurbiprofen (a cyclo-oxygenase inhibitor), nordihydroguaiaretic acid (a lipoxygenase inhibitor), and a leukotriene antagonist, SKF104353 [R-(R*, S*)]-beta-[(2-carboxyethyl) thio-alpha-hydroxy-2-(8-phenyloctyl) benzenepropanoic acid, zinc salt].",,,,
151,,,,,URINARY EXCRETION OF PREDNISOLONE AFTER INTRARECTAL THERAPY IN ULCERATIVE COLITIS.,,,,
152,,,,,"Male rats treated with either budesonide, prednisolone, or triamcinolone acetonide in drinking water for up to 104 weeks developed slightly increased incidences of basophilic foci, and significantly increased incidences of combined hepatocellular adenomas/carcinomas as compared to controls.",,,,
153,,,,,[On the use of prednisolone in hemolytic anemia of the newborn caused by fetomaternal Rh-factor incompatibility].,,,,
154,,,,,Long-term use of prednisone and prednisolone in juvenile rheumatoid arthritis; a report of fifteen cases.,,,,
155,,,,,[Effect of prednisolone and human albumin on protein excretion in nephrotic syndrome].,,,,
156,,,,,[Therapeutic results of metacortandralone or prednisolone in allergy].,,,,
157,,,,,Primary resistance to vincristine (Vcr) and prednisolone in untreated AML was observed as well as 'acquired' resistance to several other antileukemic drugs.,,,,
158,,,,,"REPORT of the Committee on New Drugs of the Research Council of the American Academy of Allergy, 1955-56; studies on prednisone and prednisolone in ragweed pollinosis.",,,,
159,,,,,Effects of prednisone and prednisolone in ocular inflammation.,,,,
160,,,,,"Prednisolone scored better than prednisone in the categories of texture, taste, and aftertaste (p < 0.05); there was no statistical difference in smell.",,,,
161,,,,,Plasma prednisolone levels after administration of prednisolone-21-phosphate as a retention enema in colitis.,,,,
162,,,,,Mizoribine as an effective combined maintenance therapy with prednisolone in child-onset systemic lupus erythematosus.,,,,
163,,,,,Controlled prospective trial of prednisolone and cytotoxics in progressive IgA nephropathy.,,,,
164,,,,,"We propose that FE(NO) is associated with eosinophilic inflammation in children with difficult asthma, following prednisolone, and may help in identifying patients in whom persistent symptoms are associated with airway eosinophilia.",,,,
165,,,,,"Liposomal daunorubicin (DaunoXome) in combination with cyclophosphamide, vincristine and prednisolone (COP-X) as salvage therapy in poor-prognosis non-Hodgkins lymphoma.",,,,
166,,,,,Prednisolone in Duchenne muscular dystrophy.,,,,
167,,,,,Intravenous prednisolone in chronic bronchial asthma.,,,,
168,,,,,Reversibility with prednisolone is rarely seen in COPD.,,,,
169,,,,,"In spite of the fact that prednisolone-based treatment of pemphigus patients has proved to be effective in controlling the disease, some undesirable effects associated with this form of treatment have prompted investigation into other therapeutic approaches.",,,,
170,,,,,One reason for the good clinical effects of prednisolone in RA could be a down-regulation of adhesion and phagocytosis receptors on monocytes.,,,,
171,,,,,OBJECTIVE: To appraise the adjunctive role of prednisolone (PN) in pulmonary tuberculosis (PTB) with toxic reactions.,,,,
172,,,,,"A significant reduction of survival was found with the presence of permanent visual loss vs absence (p = 0.04), in patients who required more than 10 mg/d of glucocorticoid (p < 0.001) at 6 months treatment and in patients treated with prednisone (vs prednisolone) (p < 0.01).",,,,
173,,,,,"Fourteen patients developed hyperglycemia during induction therapy of acute lymphoblastic leukemia with L-asparaginase, prednisolone, vincristine and daunorubicin.",,,,
174,,,,,A 66-year-old man was treated for IgD (lambda) multiple myeloma with 2mg/day melphalan and 20mg/day prednisolone.,,,,
175,,,,,"Moreover, after recent findings regarding the presence of endogenous prednisolone in the urine of more popular breeds, particular attention was given to analysis of the presence of prednisolone and prednisone, as well.",,,,
176,,,,,"Of 10 mg of prednisone given orally to 5 normal subjects, 69+/-5% was absorbed and converted to peripheral plasma prednisolone within 8 h.",,,,
177,,,,,"As in humans, prednisolone was partly converted to prednisone in the rabbit.",,,,
178,,,,,"Given the close resemblance of the ring A structure of prednisolone and prednisone on the one hand, and of androstadienedione on the other, the transformation of cortisol and cortisone into prednisolone and prednisone in cattle faeces was evaluated.",,,,
179,,,,,The data indicate that prednisone is extensively metabolized to prednisolone before it clears the splanchnic circulation and the formation prednisone by oxidation of the 11-hydorxyl group of prednisolone appears to occur mainly in peripheral tissues.,,,,
180,,,,,CONCLUSION: Dexamethasone or prednisolone were the easiest to induce steroid glaucoma when the patients had long-term use of steroid eyedrops.,,,,
181,,,,,"Among 121 CK-analogs studied, CK-17, CK-101A and CK103A have been identified as promising anti-inflammatory agents as potent as prednisolone in inhibiting lens proteins-induced inflammation and twice as potent as prednisolone in inhibiting endotoxin-and IL-1-induced uveitis.",,,,
182,,,,,Light and electron microscopy of prednisolone-induced nephropathy in rabbits.,,,,
183,,,,,The behavior results showed that exposure to prednisolone resulted in decreased autonomic activity and low sensitivity to light.,,,,
184,,,,,We therefore advocate for increased clinical alertness towards prednisolone-induced adrenal insufficiency in RTx patients and thus their potential need of rescue GC supplementation during stress.,,,,
185,,,,,Zeaxanthin (50 mg/kg/day) or prednisolone (5 mg/kg/day) was orally administered for 14 days before induction of ulcerative colitis.,,,,
186,,,,,"OBJECTIVE: We want to show that an intralesional injection of prednisolone into the proximal nail fold may produce dorsal pain, dyspnoea and headaches within the 2 min following the injection and to explain the pathophysiology of his condition.",,,,
187,,,,,[A case of nephrotic syndrome with abnormally high level of protein C induced by prednisolone].,,,,
188,,,,,It is concluded that six or more cycles of COPP chemotherapy for advanced Hodgkin's disease in men leads to permanent sterility.,,,,
189,,,,,The erythroderma improved generally as a result of systemic prednisolone treatment.,,,,
190,,,,,CONTACT DERMATITIS DUE TO TOPICAL HYDROCORTISONE AND PREDNISOLONE.,,,,
191,,,,,[Pulmonary tuberculosis due to prednisolone].,,,,
192,,,,,"Rats were treated with a leukotriene synthesis inhibitor (PF-5901), a leukotriene B4 receptor antagonist (SC-41930), an IL-1 receptor antagonist or a corticosteroid (prednisolone) prior to induction of colitis.",,,,
193,,,,,"PURPOSE: To investigate the relationship between vitamin E deficiency and prednisolone-induced cataract formation, long-term examination of lens changes was performed in rats under the condition of vitamin E deficiency or supplementation and administration of prednisolone.",,,,
194,,,,,"In inactive SLE induced by prednisolone therapy, the invariant Valpha24JalphaQ TCR could be detected in DN Valpha24+ T cells from all the patients and dominated in most of the patients.",,,,
195,,,,,"Interleukin-1 (IL-1) blockers, CK 127 and CK 129, were found to inhibit IL-1-induced posterior uveitis very effectively at 3-10 mg/kg i.p. and were more potent than prednisolone which required at least 20 mg/kg i.p. to achieve the same level of anti-uveitis action.",,,,
